feature_set,model,fold,train_start,train_end,test_start,test_end,n_train,n_test,accuracy,precision,recall,f1,auc,mcc
technical_only,naive_most_frequent,1,2021-10-27,2022-04-12,2022-04-13,2022-05-16,2303,506,0.5770750988142292,0.0,0.0,0.0,0.5,0.0
technical_only,naive_most_frequent,2,2021-10-27,2022-05-16,2022-05-17,2022-06-17,2809,505,0.504950495049505,0.0,0.0,0.0,0.5,0.0
technical_only,naive_most_frequent,3,2021-10-27,2022-06-17,2022-06-21,2022-07-22,3314,464,0.47413793103448276,0.0,0.0,0.0,0.5,0.0
technical_only,naive_most_frequent,4,2021-10-27,2022-07-22,2022-07-25,2022-08-24,3778,456,0.45394736842105265,0.0,0.0,0.0,0.5,0.0
technical_only,naive_most_frequent,5,2021-10-27,2022-08-24,2022-08-25,2022-09-28,4234,486,0.6460905349794238,0.0,0.0,0.0,0.5,0.0
technical_only,logistic_regression,1,2021-10-27,2022-04-12,2022-04-13,2022-05-16,2303,506,0.4723320158102767,0.4158730158730159,0.6121495327102804,0.4952741020793951,0.47548329279221613,-0.01833141706464203
technical_only,logistic_regression,2,2021-10-27,2022-05-16,2022-05-17,2022-06-17,2809,505,0.5207920792079208,0.5150375939849624,0.548,0.5310077519379846,0.5226509803921568,0.04217590658777579
technical_only,logistic_regression,3,2021-10-27,2022-06-17,2022-06-21,2022-07-22,3314,464,0.49353448275862066,0.5171102661596958,0.5573770491803278,0.5364891518737672,0.4585879284649776,-0.02004883289957985
technical_only,logistic_regression,4,2021-10-27,2022-07-22,2022-07-25,2022-08-24,3778,456,0.49122807017543857,0.5391705069124424,0.46987951807228917,0.5021459227467812,0.5013483887239781,-0.013171445773633614
technical_only,logistic_regression,5,2021-10-27,2022-08-24,2022-08-25,2022-09-28,4234,486,0.43209876543209874,0.344311377245509,0.6686046511627907,0.45454545454545453,0.4624685231817509,-0.02975386433413267
technical_only,random_forest,1,2021-10-27,2022-04-12,2022-04-13,2022-05-16,2303,506,0.525691699604743,0.45075757575757575,0.5560747663551402,0.497907949790795,0.49748751760337984,0.058843896998316415
technical_only,random_forest,2,2021-10-27,2022-05-16,2022-05-17,2022-06-17,2809,505,0.5267326732673268,0.5307262569832403,0.38,0.4428904428904429,0.5106352941176471,0.05287547829521634
technical_only,random_forest,3,2021-10-27,2022-06-17,2022-06-21,2022-07-22,3314,464,0.45689655172413796,0.47183098591549294,0.27459016393442626,0.3471502590673575,0.46266766020864386,-0.0718574226972949
technical_only,random_forest,4,2021-10-27,2022-07-22,2022-07-25,2022-08-24,3778,456,0.4583333333333333,0.5049019607843137,0.41365461847389556,0.45474613686534215,0.4550375414702288,-0.07436553877396448
technical_only,random_forest,5,2021-10-27,2022-08-24,2022-08-25,2022-09-28,4234,486,0.5699588477366255,0.4307116104868914,0.6686046511627907,0.5239179954441914,0.6277033032143386,0.17734303935032592
technical_only,xgboost,1,2021-10-27,2022-04-12,2022-04-13,2022-05-16,2303,506,0.5335968379446641,0.4481132075471698,0.4439252336448598,0.4460093896713615,0.4931506849315069,0.04329576688905322
technical_only,xgboost,2,2021-10-27,2022-05-16,2022-05-17,2022-06-17,2809,505,0.5524752475247525,0.5659340659340659,0.412,0.47685185185185186,0.5600313725490196,0.10642345899490892
technical_only,xgboost,3,2021-10-27,2022-06-17,2022-06-21,2022-07-22,3314,464,0.4698275862068966,0.4962121212121212,0.5368852459016393,0.515748031496063,0.43895305514157973,-0.06822171377906999
technical_only,xgboost,4,2021-10-27,2022-07-22,2022-07-25,2022-08-24,3778,456,0.4342105263157895,0.4828897338403042,0.5100401606425703,0.49609375,0.39650388995595914,-0.14809529533457505
technical_only,xgboost,5,2021-10-27,2022-08-24,2022-08-25,2022-09-28,4234,486,0.654320987654321,0.5085470085470085,0.6918604651162791,0.5862068965517241,0.6903977188564657,0.3116232281931487
technical_only,svc_rbf,1,2021-10-27,2022-04-12,2022-04-13,2022-05-16,2303,506,0.48221343873517786,0.41946308724832215,0.5841121495327103,0.48828125,0.4789479580079376,-0.008387497255766018
technical_only,svc_rbf,2,2021-10-27,2022-05-16,2022-05-17,2022-06-17,2809,505,0.5287128712871287,0.5232558139534884,0.54,0.531496062992126,0.5587372549019607,0.05765791309943497
technical_only,svc_rbf,3,2021-10-27,2022-06-17,2022-06-21,2022-07-22,3314,464,0.47629310344827586,0.502283105022831,0.45081967213114754,0.47516198704103674,0.4535488077496274,-0.044645270694389276
technical_only,svc_rbf,4,2021-10-27,2022-07-22,2022-07-25,2022-08-24,3778,456,0.4956140350877193,0.5477386934673367,0.43775100401606426,0.48660714285714285,0.5078284151097142,0.0029799809286044743
technical_only,svc_rbf,5,2021-10-27,2022-08-24,2022-08-25,2022-09-28,4234,486,0.5041152263374485,0.3890675241157556,0.7034883720930233,0.5010351966873706,0.5394756332395201,0.09801516689099622
sentiment_only_vader_textblob,naive_most_frequent,1,2021-10-27,2022-04-12,2022-04-13,2022-05-16,2303,506,0.5770750988142292,0.0,0.0,0.0,0.5,0.0
sentiment_only_vader_textblob,naive_most_frequent,2,2021-10-27,2022-05-16,2022-05-17,2022-06-17,2809,505,0.504950495049505,0.0,0.0,0.0,0.5,0.0
sentiment_only_vader_textblob,naive_most_frequent,3,2021-10-27,2022-06-17,2022-06-21,2022-07-22,3314,464,0.47413793103448276,0.0,0.0,0.0,0.5,0.0
sentiment_only_vader_textblob,naive_most_frequent,4,2021-10-27,2022-07-22,2022-07-25,2022-08-24,3778,456,0.45394736842105265,0.0,0.0,0.0,0.5,0.0
sentiment_only_vader_textblob,naive_most_frequent,5,2021-10-27,2022-08-24,2022-08-25,2022-09-28,4234,486,0.6460905349794238,0.0,0.0,0.0,0.5,0.0
sentiment_only_vader_textblob,logistic_regression,1,2021-10-27,2022-04-12,2022-04-13,2022-05-16,2303,506,0.5098814229249012,0.43359375,0.5186915887850467,0.4723404255319149,0.5221162463192932,0.021853436662393397
sentiment_only_vader_textblob,logistic_regression,2,2021-10-27,2022-05-16,2022-05-17,2022-06-17,2809,505,0.4772277227722772,0.4756944444444444,0.548,0.5092936802973977,0.48720784313725496,-0.04459767248402364
sentiment_only_vader_textblob,logistic_regression,3,2021-10-27,2022-06-17,2022-06-21,2022-07-22,3314,464,0.4676724137931034,0.49416342412451364,0.5204918032786885,0.5069860279441117,0.4812034277198211,-0.0707349110707263
sentiment_only_vader_textblob,logistic_regression,4,2021-10-27,2022-07-22,2022-07-25,2022-08-24,3778,456,0.45394736842105265,0.5,0.3815261044176707,0.4328018223234624,0.4365481248666162,-0.0781754573396291
sentiment_only_vader_textblob,logistic_regression,5,2021-10-27,2022-08-24,2022-08-25,2022-09-28,4234,486,0.4794238683127572,0.3527272727272727,0.563953488372093,0.43400447427293065,0.5151181306473115,-0.002822412357190246
sentiment_only_vader_textblob,random_forest,1,2021-10-27,2022-04-12,2022-04-13,2022-05-16,2303,506,0.5276679841897233,0.45098039215686275,0.5373831775700935,0.4904051172707889,0.561739854051978,0.05724048530129624
sentiment_only_vader_textblob,random_forest,2,2021-10-27,2022-05-16,2022-05-17,2022-06-17,2809,505,0.499009900990099,0.4944237918215613,0.532,0.51252408477842,0.5041333333333333,-0.0013361237681419793
sentiment_only_vader_textblob,random_forest,3,2021-10-27,2022-06-17,2022-06-21,2022-07-22,3314,464,0.5043103448275862,0.5275590551181102,0.5491803278688525,0.5381526104417671,0.514865871833085,0.003737637998980752
sentiment_only_vader_textblob,random_forest,4,2021-10-27,2022-07-22,2022-07-25,2022-08-24,3778,456,0.4934210526315789,0.5584415584415584,0.3453815261044177,0.4267990074441687,0.4885435461653376,0.01776931042551641
sentiment_only_vader_textblob,random_forest,5,2021-10-27,2022-08-24,2022-08-25,2022-09-28,4234,486,0.5555555555555556,0.3791208791208791,0.4011627906976744,0.3898305084745763,0.536540882832173,0.040794661115432396
sentiment_only_vader_textblob,xgboost,1,2021-10-27,2022-04-12,2022-04-13,2022-05-16,2303,506,0.5375494071146245,0.4621212121212121,0.5700934579439252,0.5104602510460251,0.5641883241582384,0.082868920033132
